Name,Dimensions,Size,DataType,Attributes,HistFlag
EC550BC,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: m-1, long_name: BC aerosol extinction coefficient, cell_methods: time: mean",aerocom
EC550DU,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: m-1, long_name: DU aerosol extinction coefficient, cell_methods: time: mean",aerocom
EC550POM,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: m-1, long_name: POM aerosol extinction coefficient, cell_methods: time: mean",aerocom
EC550SO4,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: m-1, long_name: SO4 aerosol extinction coefficient, cell_methods: time: mean",aerocom
EC550SS,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: m-1, long_name: SS aerosol extinction coefficient, cell_methods: time: mean",aerocom
ECDRY440,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: m-1, long_name: Dry aerosol extinction at 440nm, cell_methods: time: mean",aerocom
ECDRY870,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: m-1, long_name: Dry aerosol extinction at 870nm, cell_methods: time: mean",aerocom
ECDRYAER,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: Dry aerosol extinction at 550nm, cell_methods: time: mean",aerocom
ECDRYLT1,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: m-1, long_name: Dry aerosol extinction at 550nm lt05, cell_methods: time: mean",aerocom
GRIDAREA,"time, lat, lon","1, 96, 144",float32,"units: m2, long_name: Grid area for 1.9x2.5 horizontal resolution, cell_methods: time: mean",aerocom
LOADBC0,"time, lat, lon","1, 96, 144",float32,"units: mg/m2, long_name: BC aerosol mode 0 load, cell_methods: time: mean",aerocom
LOADBC12,"time, lat, lon","1, 96, 144",float32,"units: mg/m2, long_name: BC aerosol mode 12 load, cell_methods: time: mean",aerocom
LOADBC14,"time, lat, lon","1, 96, 144",float32,"units: mg/m2, long_name: BC aerosol mode 14 load, cell_methods: time: mean",aerocom
LOADBC2,"time, lat, lon","1, 96, 144",float32,"units: mg/m2, long_name: BC aerosol mode 2 load, cell_methods: time: mean",aerocom
LOADBC4,"time, lat, lon","1, 96, 144",float32,"units: mg/m2, long_name: BC aerosol mode 4 load, cell_methods: time: mean",aerocom
LOADBCAC,"time, lat, lon","1, 96, 144",float32,"units: mg/m2, long_name: BC aerosol coag load, cell_methods: time: mean",aerocom
LOADOC14,"time, lat, lon","1, 96, 144",float32,"units: mg/m2, long_name: OC aerosol mode 14 load, cell_methods: time: mean",aerocom
LOADOC4,"time, lat, lon","1, 96, 144",float32,"units: mg/m2, long_name: OC aerosol mode 4 load, cell_methods: time: mean",aerocom
